comarca,codi_variable,data_lectura,valor_lectura
Vallès Oriental,35,2010-04-01,28.7
Vallès Oriental,35,2010-04-02,0.1
Vallès Oriental,35,2010-04-03,0.0
Vallès Oriental,35,2010-04-04,55.8
Vallès Oriental,35,2010-04-05,0.30000000000000004
Vallès Oriental,35,2010-04-06,0.2
Vallès Oriental,35,2010-04-07,6.0
Vallès Oriental,35,2010-04-08,0.2
Vallès Oriental,35,2010-04-09,0.0
Vallès Oriental,35,2010-04-10,0.2
Vallès Oriental,35,2010-04-11,0.0
Vallès Oriental,35,2010-04-12,22.6
Vallès Oriental,35,2010-04-13,0.0
Vallès Oriental,35,2010-04-14,0.5
Vallès Oriental,35,2010-04-15,1.3
Vallès Oriental,35,2010-04-16,0.30000000000000004
Vallès Oriental,35,2010-04-17,0.1
Vallès Oriental,35,2010-04-18,0.4
Vallès Oriental,35,2010-04-19,12.2
Vallès Oriental,35,2010-04-20,0.2
Vallès Oriental,35,2010-04-21,0.0
Vallès Oriental,35,2010-04-22,1.8
Vallès Oriental,35,2010-04-23,5.0
Vallès Oriental,35,2010-04-24,0.0
Vallès Oriental,35,2010-04-25,0.0
Vallès Oriental,35,2010-04-26,12.600000000000001
Vallès Oriental,35,2010-04-27,0.1
Vallès Oriental,35,2010-04-28,0.0
Vallès Oriental,35,2010-04-29,0.0
Vallès Oriental,35,2010-04-30,0.7
Vallès Oriental,35,2010-05-01,18.1
Vallès Oriental,35,2010-05-02,54.5
Vallès Oriental,35,2010-05-03,219.3
Vallès Oriental,35,2010-05-04,80.9
Vallès Oriental,35,2010-05-05,9.4
Vallès Oriental,35,2010-05-06,0.7
Vallès Oriental,35,2010-05-07,2.0
Vallès Oriental,35,2010-05-08,32.9
Vallès Oriental,35,2010-05-09,14.1
Vallès Oriental,35,2010-05-10,0.2
Vallès Oriental,35,2010-05-11,0.0
Vallès Oriental,35,2010-05-12,36.8
Vallès Oriental,35,2010-05-13,75.8
Vallès Oriental,35,2010-05-14,19.400000000000002
Vallès Oriental,35,2010-05-15,1.3
Vallès Oriental,35,2010-05-16,0.1
Vallès Oriental,35,2010-05-17,0.0
Vallès Oriental,35,2010-05-18,0.0
Vallès Oriental,35,2010-05-19,0.0
Vallès Oriental,35,2010-05-20,0.0
Vallès Oriental,35,2010-05-21,0.0
Vallès Oriental,35,2010-05-22,2.4
Vallès Oriental,35,2010-05-23,0.0
Vallès Oriental,35,2010-05-24,0.0
Vallès Oriental,35,2010-05-25,0.0
Vallès Oriental,35,2010-05-26,0.0
Vallès Oriental,35,2010-05-27,0.0
Vallès Oriental,35,2010-05-28,32.5
Vallès Oriental,35,2010-05-29,0.0
Vallès Oriental,35,2010-05-30,0.0
Vallès Oriental,35,2010-05-31,0.0
Vallès Oriental,35,2010-06-01,0.0
Vallès Oriental,35,2010-06-02,0.0
Vallès Oriental,35,2010-06-03,0.0
Vallès Oriental,35,2010-06-04,0.0
Vallès Oriental,35,2010-06-05,0.0
Vallès Oriental,35,2010-06-06,14.200000000000001
Vallès Oriental,35,2010-06-07,0.1
Vallès Oriental,35,2010-06-08,0.0
Vallès Oriental,35,2010-06-09,31.3
Vallès Oriental,35,2010-06-10,19.2
Vallès Oriental,35,2010-06-11,25.7
Vallès Oriental,35,2010-06-12,0.1
Vallès Oriental,35,2010-06-13,0.4
Vallès Oriental,35,2010-06-14,22.6
Vallès Oriental,35,2010-06-15,8.5
Vallès Oriental,35,2010-06-16,0.4
Vallès Oriental,35,2010-06-17,0.0
Vallès Oriental,35,2010-06-18,14.299999999999999
Vallès Oriental,35,2010-06-19,8.5
Vallès Oriental,35,2010-06-20,0.1
Vallès Oriental,35,2010-06-21,0.1
Vallès Oriental,35,2010-06-22,0.0
Vallès Oriental,35,2010-06-23,0.0
Vallès Oriental,35,2010-06-24,0.0
Vallès Oriental,35,2010-06-25,0.0
Vallès Oriental,35,2010-06-26,0.0
Vallès Oriental,35,2010-06-27,0.0
Vallès Oriental,35,2010-06-28,2.6
Vallès Oriental,35,2010-06-29,0.8
Vallès Oriental,35,2010-06-30,0.0
Vallès Oriental,35,2010-07-01,0.0
Vallès Oriental,35,2010-07-02,0.0
Vallès Oriental,35,2010-07-03,0.0
Vallès Oriental,35,2010-07-04,18.2
Vallès Oriental,35,2010-07-05,0.0
Vallès Oriental,35,2010-07-06,0.0
Vallès Oriental,35,2010-07-07,0.0
Vallès Oriental,35,2010-07-08,0.0
Vallès Oriental,35,2010-07-09,0.0
Vallès Oriental,35,2010-07-10,0.0
Vallès Oriental,35,2010-07-11,0.0
Vallès Oriental,35,2010-07-12,0.0
Vallès Oriental,35,2010-07-13,0.0
Vallès Oriental,35,2010-07-14,0.0
Vallès Oriental,35,2010-07-15,0.0
Vallès Oriental,35,2010-07-16,0.0
Vallès Oriental,35,2010-07-17,0.0
Vallès Oriental,35,2010-07-18,0.0
Vallès Oriental,35,2010-07-19,0.0
Vallès Oriental,35,2010-07-20,0.0
Vallès Oriental,35,2010-07-21,0.0
Vallès Oriental,35,2010-07-22,0.0
Vallès Oriental,35,2010-07-23,0.4
Vallès Oriental,35,2010-07-24,0.0
Vallès Oriental,35,2010-07-25,0.0
Vallès Oriental,35,2010-07-26,0.0
Vallès Oriental,35,2010-07-27,0.0
Vallès Oriental,35,2010-07-28,0.0
Vallès Oriental,35,2010-07-29,77.9
Vallès Oriental,35,2010-07-30,10.799999999999999
Vallès Oriental,35,2010-07-31,0.0
Vallès Oriental,35,2010-08-01,0.0
Vallès Oriental,35,2010-08-02,28.3
Vallès Oriental,35,2010-08-03,0.1
Vallès Oriental,35,2010-08-04,0.0
Vallès Oriental,35,2010-08-05,19.6
Vallès Oriental,35,2010-08-06,4.3999999999999995
Vallès Oriental,35,2010-08-07,0.0
Vallès Oriental,35,2010-08-08,0.0
Vallès Oriental,35,2010-08-09,0.0
Vallès Oriental,35,2010-08-10,0.0
Vallès Oriental,35,2010-08-11,0.0
Vallès Oriental,35,2010-08-12,23.5
Vallès Oriental,35,2010-08-13,0.30000000000000004
Vallès Oriental,35,2010-08-14,20.5
Vallès Oriental,35,2010-08-15,0.2
Vallès Oriental,35,2010-08-16,0.0
Vallès Oriental,35,2010-08-17,0.0
Vallès Oriental,35,2010-08-18,0.0
Vallès Oriental,35,2010-08-19,59.9
Vallès Oriental,35,2010-08-20,0.1
Vallès Oriental,35,2010-08-21,0.0
Vallès Oriental,35,2010-08-22,0.0
Vallès Oriental,35,2010-08-23,0.0
Vallès Oriental,35,2010-08-24,0.0
Vallès Oriental,35,2010-08-25,0.0
Vallès Oriental,35,2010-08-26,0.0
Vallès Oriental,35,2010-08-27,0.0
Vallès Oriental,35,2010-08-28,0.0
Vallès Oriental,35,2010-08-29,0.7
Vallès Oriental,35,2010-08-30,0.2
Vallès Oriental,35,2010-08-31,0.0
Vallès Oriental,35,2010-09-01,0.0
Vallès Oriental,35,2010-09-02,0.0
Vallès Oriental,35,2010-09-03,0.0
Vallès Oriental,35,2010-09-04,0.0
Vallès Oriental,35,2010-09-05,0.0
Vallès Oriental,35,2010-09-06,2.1
Vallès Oriental,35,2010-09-07,29.0
Vallès Oriental,35,2010-09-08,0.30000000000000004
Vallès Oriental,35,2010-09-09,0.8
Vallès Oriental,35,2010-09-10,0.2
Vallès Oriental,35,2010-09-11,0.0
Vallès Oriental,35,2010-09-12,0.0
